# Subcatchment X-Coord Y-Coord
88 13.0831 83.0832
88 0 88.041
88 0 72.1932
88 12.9269 76.1176
88 13.9063 78.6421
89 17.2872 65.2047
89 22.3772 63.9912
89 27.6522 57.0625
89 26.086 56.7323
89 9.42082 59.9836
90 17.0882 93.4059
90 15.5616 100
90 0 100
90 0 88.041
90 13.0831 83.0832
90 16.0223 85.4048
91 33.2251 97.678
91 33.2751 100
91 28.7654 100
91 24.3964 85.738
91 31.1444 83.5383
92 28.7654 100
92 15.5616 100
92 17.0882 93.4059
92 22.6888 85.6914
92 24.3964 85.738
93 13.9063 78.6421
93 19.1223 81.5055
93 19.2092 81.7374
93 16.0223 85.4048
93 13.0831 83.0832
94 33.0896 71.6899
94 25.7697 66.9034
94 22.3772 63.9912
94 27.6522 57.0625
94 31.6559 55.8902
94 32.476 56.0206
95 21.4998 74.0759
95 19.4336 72.8691
95 12.9269 76.1176
95 13.9063 78.6421
95 19.1223 81.5055
96 25.7697 66.9034
96 19.0261 71.0079
96 17.2872 65.2047
96 22.3772 63.9912
97 19.4336 72.8691
97 19.0261 71.0079
97 25.7697 66.9034
97 33.0896 71.6899
97 33.9963 74.4348
97 33.2282 75.153
97 30.5116 75.3322
97 21.4998 74.0759
98 33.2282 75.153
98 30.5116 75.3322
98 21.3519 82.7755
98 22.6888 85.6914
98 24.3964 85.738
98 31.1444 83.5383
98 32.7571 77.9028
99 21.3519 82.7755
99 19.2092 81.7374
99 16.0223 85.4048
99 17.0882 93.4059
99 22.6888 85.6914
100 30.5116 75.3322
100 21.4998 74.0759
100 19.1223 81.5055
100 19.2092 81.7374
100 21.3519 82.7755
